edge_id,point_id_left,point_id_right,kBT_left,J_A_left,kBT_right,J_A_right,z2_left,z2_right,topology_left,topology_right,z2_change_candidate,p0_sign_change_candidate,ppi_sign_change_candidate,edge_length_norm,bulk_gap_min,pfaffian_margin_min,mid_kBT,mid_J_A
59,39,661,0.28,0.22525,0.2776666666666667,0.212,0,0,trivial,trivial,False,False,False,0.009240912925974315,0.4288700742508418,0.42993713197298267,0.2788333333333334,0.218625
60,39,840,0.28,0.22525,0.273,0.212,0,0,trivial,trivial,False,False,False,0.015054150108165621,0.4288700742508418,0.42993713197298267,0.2765,0.218625
61,40,1762,0.0186666666666666,1.537,0.014,1.5568750000000002,1,1,topological,topological,False,False,False,0.014934265035908093,0.02810359318202323,0.29674744618732163,0.0163333333333333,1.5469375
62,40,3899,0.0186666666666666,1.537,0.0186666666666666,1.5568750000000002,1,1,topological,topological,False,False,False,0.012345679012345845,0.028335042291966407,0.2967866328293261,0.0186666666666666,1.5469375
63,40,4021,0.0186666666666666,1.537,0.021,1.537,1,1,topological,topological,False,False,False,0.004201680672269038,0.02964355720072862,0.3064217356617764,0.0198333333333333,1.537
64,40,5206,0.0186666666666666,1.537,0.0093333333333333,1.5303750000000005,1,1,topological,topological,False,False,False,0.017303208238818455,0.027336489467069465,0.3064217356617764,0.01399999999999995,1.5336875
65,40,5700,0.0186666666666666,1.537,0.021,1.5436250000000002,1,1,topological,topological,False,False,False,0.005881259072694482,0.029005163748682974,0.3032565547140262,0.0198333333333333,1.5403125000000002
66,40,6468,0.0186666666666666,1.537,0.0186666666666666,1.5303750000000005,1,1,topological,topological,False,False,False,0.004115226337448208,0.030056672679727548,0.3064217356617764,0.0186666666666666,1.5336875
67,43,160,0.1913333333333333,0.165625,0.2006666666666667,0.1325,0,0,trivial,trivial,False,False,False,0.026567708270723123,0.43441193759484337,0.42340631356892516,0.196,0.1490625
68,43,203,0.1913333333333333,0.165625,0.2053333333333333,0.159,0,0,trivial,trivial,False,False,False,0.025543755103552862,0.43441193759484337,0.42340631356892516,0.1983333333333333,0.1623125
69,43,613,0.1913333333333333,0.165625,0.1936666666666666,0.125875,0,0,trivial,trivial,False,False,False,0.025046302752606178,0.43441193759484337,0.42340631356892516,0.19249999999999995,0.14575
70,43,2182,0.1913333333333333,0.165625,0.1936666666666666,0.212,0,0,trivial,trivial,False,False,False,0.029111396790343146,0.4117952269544479,0.40931933437102636,0.19249999999999995,0.1888125
71,43,2289,0.1913333333333333,0.165625,0.1866666666666666,0.139125,0,0,trivial,trivial,False,False,False,0.01848182585194867,0.43441193759484337,0.42340631356892516,0.18899999999999995,0.15237499999999998
72,43,2371,0.1913333333333333,0.165625,0.1866666666666666,0.1855,0,0,trivial,trivial,False,False,False,0.014934265035908072,0.4218638201467777,0.4145894966039405,0.18899999999999995,0.1755625
73,49,2260,0.063,1.106375,0.056,1.0865,1,1,topological,topological,False,False,False,0.017643777218082777,0.06518611400307657,0.49184931620238664,0.0595,1.0964375
74,49,2880,0.063,1.106375,0.0583333333333333,1.1130000000000002,1,1,topological,topological,False,False,False,0.009356899577066357,0.06518611400307657,0.4899563855843596,0.06066666666666665,1.1096875000000002
75,49,3268,0.063,1.106375,0.0653333333333333,1.09975,1,1,topological,topological,False,False,False,0.005881259072694183,0.06402524204832588,0.49184931620238664,0.06416666666666665,1.1030625
76,49,3895,0.063,1.106375,0.063,1.1130000000000002,1,1,topological,topological,False,False,False,0.004115226337448652,0.06396866894951693,0.49072951851395447,0.063,1.1096875000000002
77,54,132,0.2006666666666667,0.351125,0.196,0.265,0,0,trivial,trivial,False,False,False,0.0541539132612925,0.3244834016365944,0.3400324507877272,0.19833333333333336,0.3080625
78,54,143,0.2006666666666667,0.351125,0.231,0.377625,0,0,trivial,trivial,False,False,False,0.05704829326680369,0.3099935060062933,0.32777355370946726,0.21583333333333335,0.364375
79,54,275,0.2006666666666667,0.351125,0.2263333333333333,0.27825,0,0,trivial,trivial,False,False,False,0.06469384979963663,0.3244834016365944,0.3400324507877272,0.2135,0.3146875
